Cancer_Type,Lineage,Cell_Lines,Combination_Size,Target_Position,Target_Gene,Clinical_Stage,Available_Drugs,Known_Toxicities,Full_Combination,Path_Coverage,Cost_Score
Hodgkin Lymphoma,Lymphoid,9,3,3,JAK1,approved,ruxolitinib; tofacitinib; baricitinib,infections; thrombosis,CCND1 + CFL1 + JAK1,82.8%,2.30
Well-Differentiated Thyroid Cancer,Thyroid,9,3,1,E2F3,unknown,,,E2F3 + EGFR + SOCS3,84.8%,2.80
Well-Differentiated Thyroid Cancer,Thyroid,9,3,2,EGFR,approved,erlotinib; gefitinib; osimertinib; afatinib; cetuximab,rash; diarrhea; ILD,E2F3 + EGFR + SOCS3,84.8%,2.80
Well-Differentiated Thyroid Cancer,Thyroid,9,3,3,SOCS3,unknown,,,E2F3 + EGFR + SOCS3,84.8%,2.80
Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,9,3,1,CCND1,unknown,,,CCND1 + FGFR1 + FYN,82.9%,2.53
Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,9,3,2,FGFR1,approved,erdafitinib; pemigatinib,,CCND1 + FGFR1 + FYN,82.9%,2.53
Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,9,3,3,FYN,approved,dasatinib; saracatinib,myelosuppression,CCND1 + FGFR1 + FYN,82.9%,2.53
Merkel Cell Carcinoma,Skin,8,3,1,CCNE1,unknown,,,CCNE1 + PTK2 + YAP1,81.2%,2.60
Merkel Cell Carcinoma,Skin,8,3,2,PTK2,unknown,,,CCNE1 + PTK2 + YAP1,81.2%,2.60
Merkel Cell Carcinoma,Skin,8,3,3,YAP1,unknown,,,CCNE1 + PTK2 + YAP1,81.2%,2.60
Intracholecystic Papillary Neoplasm,Biliary Tract,7,3,1,RAF1,unknown,,,RAF1 + SREBF1 + STAT3,80.9%,1.26
Intracholecystic Papillary Neoplasm,Biliary Tract,7,3,2,SREBF1,unknown,,,RAF1 + SREBF1 + STAT3,80.9%,1.26
Intracholecystic Papillary Neoplasm,Biliary Tract,7,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,RAF1 + SREBF1 + STAT3,80.9%,1.26
Cervical Adenocarcinoma,Cervix,7,3,1,CTNNB1,unknown,,,CTNNB1 + EGFR + TGIF1,81.0%,2.76
Cervical Adenocarcinoma,Cervix,7,3,2,EGFR,approved,erlotinib; gefitinib; osimertinib; afatinib; cetuximab,rash; diarrhea; ILD,CTNNB1 + EGFR + TGIF1,81.0%,2.76
Cervical Adenocarcinoma,Cervix,7,3,3,TGIF1,unknown,,,CTNNB1 + EGFR + TGIF1,81.0%,2.76
Cutaneous Squamous Cell Carcinoma,Skin,6,3,1,PXN,unknown,,,PXN + SNAI2 + STAT3,82.1%,1.49
Cutaneous Squamous Cell Carcinoma,Skin,6,3,2,SNAI2,unknown,,,PXN + SNAI2 + STAT3,82.1%,1.49
Cutaneous Squamous Cell Carcinoma,Skin,6,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,PXN + SNAI2 + STAT3,82.1%,1.49
Breast Ductal Carcinoma In Situ,Breast,6,3,1,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,ERBB2 + MET + SREBF1,83.0%,2.72
Breast Ductal Carcinoma In Situ,Breast,6,3,2,MET,approved,capmatinib; tepotinib; crizotinib; cabozantinib,edema; nausea,ERBB2 + MET + SREBF1,83.0%,2.72
Breast Ductal Carcinoma In Situ,Breast,6,3,3,SREBF1,unknown,,,ERBB2 + MET + SREBF1,83.0%,2.72
Prostate Adenocarcinoma,Prostate,6,3,1,ANKUB1,unknown,,,ANKUB1 + CCND1 + NPIPB11,82.9%,1.90
Prostate Adenocarcinoma,Prostate,6,3,2,CCND1,unknown,,,ANKUB1 + CCND1 + NPIPB11,82.9%,1.90
Prostate Adenocarcinoma,Prostate,6,3,3,NPIPB11,unknown,,,ANKUB1 + CCND1 + NPIPB11,82.9%,1.90
Ampullary Carcinoma,Ampulla of Vater,5,3,1,CTNNB1,unknown,,,CTNNB1 + SLC2A1 + STAT3,80.9%,1.30
Ampullary Carcinoma,Ampulla of Vater,5,3,2,SLC2A1,unknown,,,CTNNB1 + SLC2A1 + STAT3,80.9%,1.30
Ampullary Carcinoma,Ampulla of Vater,5,3,3,STAT3,phase2,napabucasin; TTI-101; stattic,GI toxicity,CTNNB1 + SLC2A1 + STAT3,80.9%,1.30
"Breast Neoplasm, NOS",Breast,4,3,1,BCL2L1,phase2,navitoclax,thrombocytopenia,BCL2L1 + MET + PXN,83.3%,2.52
"Breast Neoplasm, NOS",Breast,4,3,2,MET,approved,capmatinib; tepotinib; crizotinib; cabozantinib,edema; nausea,BCL2L1 + MET + PXN,83.3%,2.52
"Breast Neoplasm, NOS",Breast,4,3,3,PXN,unknown,,,BCL2L1 + MET + PXN,83.3%,2.52
Uterine Sarcoma/Mesenchymal,Uterus,4,3,1,E2F3,unknown,,,E2F3 + EGFR + TFCP2L1,85.7%,2.80
Uterine Sarcoma/Mesenchymal,Uterus,4,3,2,EGFR,approved,erlotinib; gefitinib; osimertinib; afatinib; cetuximab,rash; diarrhea; ILD,E2F3 + EGFR + TFCP2L1,85.7%,2.80
Uterine Sarcoma/Mesenchymal,Uterus,4,3,3,TFCP2L1,unknown,,,E2F3 + EGFR + TFCP2L1,85.7%,2.80
Meningothelial Tumor,CNS/Brain,4,3,1,CDK4,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + CDK6 + MCL1,81.8%,2.67
Meningothelial Tumor,CNS/Brain,4,3,2,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK4 + CDK6 + MCL1,81.8%,2.67
Meningothelial Tumor,CNS/Brain,4,3,3,MCL1,phase1,AMG-176; S64315,cardiotoxicity,CDK4 + CDK6 + MCL1,81.8%,2.67
SMARCA4-deficient undifferentiated tumor,Lung,4,3,1,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK6 + ERBB2 + PTK2,83.3%,1.48
SMARCA4-deficient undifferentiated tumor,Lung,4,3,2,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,CDK6 + ERBB2 + PTK2,83.3%,1.48
SMARCA4-deficient undifferentiated tumor,Lung,4,3,3,PTK2,unknown,,,CDK6 + ERBB2 + PTK2,83.3%,1.48
Acute Leukemias of Ambiguous Lineage,Myeloid,3,3,1,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK6 + MAP2K1 + STAT5A,100.0%,1.50
Acute Leukemias of Ambiguous Lineage,Myeloid,3,3,2,MAP2K1,approved,trametinib; cobimetinib; binimetinib,rash; retinopathy,CDK6 + MAP2K1 + STAT5A,100.0%,1.50
Acute Leukemias of Ambiguous Lineage,Myeloid,3,3,3,STAT5A,unknown,,,CDK6 + MAP2K1 + STAT5A,100.0%,1.50
Mucosal Melanoma of the Vulva/Vagina,Vulva/Vagina,3,3,1,BRAF,approved,vemurafenib; dabrafenib; encorafenib,rash; photosensitivity,BRAF + CDK6 + ERBB2,81.0%,1.00
Mucosal Melanoma of the Vulva/Vagina,Vulva/Vagina,3,3,2,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,BRAF + CDK6 + ERBB2,81.0%,1.00
Mucosal Melanoma of the Vulva/Vagina,Vulva/Vagina,3,3,3,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,BRAF + CDK6 + ERBB2,81.0%,1.00
Hepatoblastoma,Liver,3,3,1,MAPK1,unknown,,,MAPK1 + MCL1 + MEK1,83.3%,1.00
Hepatoblastoma,Liver,3,3,2,MCL1,phase1,AMG-176; S64315,cardiotoxicity,MAPK1 + MCL1 + MEK1,83.3%,1.00
